averageCount	endTs	entrances	startTs
1.8250000000000002	2019-03-02T15:01:08.707Z	16	2019-03-02T15:00:08.707Z
1.3599999999999999	2019-03-02T15:02:08.971Z	14	2019-03-02T15:01:08.971Z
1.058	2019-03-02T15:03:09.038Z	14	2019-03-02T15:02:09.038Z
1.463	2019-03-02T15:04:09.201Z	20	2019-03-02T15:03:09.201Z
1.837	2019-03-02T15:05:09.464Z	20	2019-03-02T15:04:09.464Z
2.153	2019-03-02T15:06:09.628Z	22	2019-03-02T15:05:09.628Z
1.681	2019-03-02T15:07:09.993Z	22	2019-03-02T15:06:09.993Z
2.383	2019-03-02T15:08:10.358Z	37	2019-03-02T15:07:10.358Z
2.504	2019-03-02T15:09:10.615Z	23	2019-03-02T15:08:10.615Z
3.448	2019-03-02T15:10:10.885Z	34	2019-03-02T15:09:10.885Z
3.25	2019-03-02T15:11:11.250Z	21	2019-03-02T15:10:11.250Z
4.485	2019-03-02T15:12:11.615Z	35	2019-03-02T15:11:11.615Z
4.219	2019-03-02T15:13:11.980Z	28	2019-03-02T15:12:11.980Z
3.616	2019-03-02T15:14:12.443Z	11	2019-03-02T15:13:12.443Z
2.874	2019-03-02T15:15:12.608Z	34	2019-03-02T15:14:12.608Z
2.757	2019-03-02T15:16:12.872Z	14	2019-03-02T15:15:12.872Z
2.577	2019-03-02T15:17:13.240Z	13	2019-03-02T15:16:13.240Z
1.3	2019-03-02T15:18:13.605Z	18	2019-03-02T15:17:13.605Z
1.346	2019-03-02T15:19:13.673Z	16	2019-03-02T15:18:13.673Z
1.718	2019-03-02T15:20:13.832Z	16	2019-03-02T15:19:13.832Z
2.74	2019-03-02T15:21:14.099Z	19	2019-03-02T15:20:14.099Z
2.2	2019-03-02T15:22:14.164Z	29	2019-03-02T15:21:14.164Z
3.328	2019-03-02T15:23:14.426Z	52	2019-03-02T15:22:14.426Z
4.239	2019-03-02T15:24:14.492Z	45	2019-03-02T15:23:14.492Z
5.785	2019-03-02T15:25:14.959Z	35	2019-03-02T15:24:14.959Z
4.905	2019-03-02T15:26:15.025Z	17	2019-03-02T15:25:15.025Z
4.743	2019-03-02T15:27:15.086Z	26	2019-03-02T15:26:15.086Z
5.474	2019-03-02T15:28:15.451Z	45	2019-03-02T15:27:15.451Z
2.805	2019-03-02T15:29:15.917Z	31	2019-03-02T15:28:15.917Z
4.744	2019-03-02T15:30:15.983Z	49	2019-03-02T15:29:15.983Z
7.592	2019-03-02T15:31:16.338Z	72	2019-03-02T15:30:16.338Z
4.97	2019-03-02T15:32:16.413Z	49	2019-03-02T15:31:16.413Z
7.037	2019-03-02T15:33:16.473Z	37	2019-03-02T15:32:16.473Z
6.17	2019-03-02T15:34:16.641Z	42	2019-03-02T15:33:16.641Z
3.324	2019-03-02T15:35:17.006Z	26	2019-03-02T15:34:17.006Z
4.0	2019-03-02T15:36:17.069Z	38	2019-03-02T15:35:17.069Z
4.496	2019-03-02T15:37:17.234Z	31	2019-03-02T15:36:17.234Z
3.191	2019-03-02T15:38:17.496Z	21	2019-03-02T15:37:17.496Z
4.0	2019-03-02T15:39:17.861Z	16	2019-03-02T15:38:17.861Z
3.481	2019-03-02T15:40:18.026Z	25	2019-03-02T15:39:18.026Z
3.215	2019-03-02T15:41:18.092Z	23	2019-03-02T15:40:18.092Z
3.407	2019-03-02T15:42:18.154Z	18	2019-03-02T15:41:18.154Z
3.644	2019-03-02T15:43:18.312Z	14	2019-03-02T15:42:18.312Z
3.493	2019-03-02T15:44:18.584Z	9	2019-03-02T15:43:18.584Z
2.176	2019-03-02T15:45:18.746Z	7	2019-03-02T15:44:18.746Z
1.971	2019-03-02T15:46:19.013Z	11	2019-03-02T15:45:19.013Z
4.75	2019-03-02T15:47:19.078Z	16	2019-03-02T15:46:19.078Z
5.415	2019-03-02T15:48:19.243Z	29	2019-03-02T15:47:19.243Z
4.126	2019-03-02T15:49:19.605Z	25	2019-03-02T15:48:19.605Z
4.897	2019-03-02T15:50:19.973Z	19	2019-03-02T15:49:19.973Z
3.741	2019-03-02T15:51:20.434Z	18	2019-03-02T15:50:20.434Z
2.664	2019-03-02T15:52:20.599Z	33	2019-03-02T15:51:20.599Z
2.5	2019-03-02T15:53:20.963Z	23	2019-03-02T15:52:20.963Z
2.807	2019-03-02T15:54:21.328Z	27	2019-03-02T15:53:21.328Z
1.552	2019-03-02T15:55:21.595Z	15	2019-03-02T15:54:21.595Z
2.769	2019-03-02T15:56:22.059Z	27	2019-03-02T15:55:22.059Z
2.642	2019-03-02T15:57:22.221Z	37	2019-03-02T15:56:22.221Z
2.394	2019-03-02T15:58:22.289Z	18	2019-03-02T15:57:22.289Z
5.788	2019-03-02T15:59:22.351Z	35	2019-03-02T15:58:22.351Z
4.822	2019-03-02T16:00:22.615Z	37	2019-03-02T15:59:22.615Z
3.163	2019-03-02T16:01:22.973Z	35	2019-03-02T16:00:22.973Z
3.733	2019-03-02T16:02:23.242Z	32	2019-03-02T16:01:23.242Z
3.338	2019-03-02T16:03:23.414Z	30	2019-03-02T16:02:23.414Z
2.23	2019-03-02T16:04:23.473Z	23	2019-03-02T16:03:23.473Z
2.3529999999999998	2019-03-02T16:05:23.936Z	15	2019-03-02T16:04:23.936Z
2.654	2019-03-02T16:06:24.104Z	30	2019-03-02T16:05:24.104Z
2.368	2019-03-02T16:07:24.368Z	27	2019-03-02T16:06:24.368Z
1.8359999999999999	2019-03-02T16:08:24.434Z	31	2019-03-02T16:07:24.434Z
1.5110000000000001	2019-03-02T16:09:24.598Z	17	2019-03-02T16:08:24.598Z
2.261	2019-03-02T16:10:24.661Z	30	2019-03-02T16:09:24.661Z
1.7610000000000001	2019-03-02T16:11:24.727Z	16	2019-03-02T16:10:24.727Z
2.173	2019-03-02T16:12:24.891Z	25	2019-03-02T16:11:24.891Z
2.447	2019-03-02T16:13:25.155Z	24	2019-03-02T16:12:25.155Z
3.406	2019-03-02T16:14:25.223Z	32	2019-03-02T16:13:25.223Z
4.886	2019-03-02T16:15:25.487Z	53	2019-03-02T16:14:25.487Z
2.5540000000000003	2019-03-02T16:16:25.951Z	33	2019-03-02T16:15:25.951Z
2.549	2019-03-02T16:17:26.017Z	28	2019-03-02T16:16:26.017Z
1.096	2019-03-02T16:18:26.480Z	15	2019-03-02T16:17:26.480Z
2.801	2019-03-02T16:19:26.845Z	28	2019-03-02T16:18:26.845Z
3.818	2019-03-02T16:20:26.911Z	33	2019-03-02T16:19:26.911Z
3.279	2019-03-02T16:21:27.276Z	30	2019-03-02T16:20:27.276Z
4.828	2019-03-02T16:22:27.641Z	39	2019-03-02T16:21:27.641Z
4.378	2019-03-02T16:23:28.003Z	36	2019-03-02T16:22:28.003Z
3.519	2019-03-02T16:24:28.368Z	37	2019-03-02T16:23:28.368Z
3.782	2019-03-02T16:25:28.434Z	40	2019-03-02T16:24:28.434Z
5.091	2019-03-02T16:26:28.496Z	51	2019-03-02T16:25:28.496Z
3.068	2019-03-02T16:27:28.865Z	34	2019-03-02T16:26:28.865Z
4.075	2019-03-02T16:28:29.220Z	33	2019-03-02T16:27:29.220Z
4.672	2019-03-02T16:29:29.394Z	48	2019-03-02T16:28:29.394Z
4.579	2019-03-02T16:30:29.660Z	38	2019-03-02T16:29:29.660Z
6.828	2019-03-02T16:31:30.020Z	34	2019-03-02T16:30:30.020Z
7.164	2019-03-02T16:32:30.288Z	34	2019-03-02T16:31:30.288Z
6.657	2019-03-02T16:33:30.549Z	42	2019-03-02T16:32:30.549Z
7.158	2019-03-02T16:34:30.813Z	59	2019-03-02T16:33:30.813Z
6.523	2019-03-02T16:35:31.071Z	54	2019-03-02T16:34:31.071Z
3.545	2019-03-02T16:36:31.342Z	35	2019-03-02T16:35:31.342Z
3.308	2019-03-02T16:37:31.605Z	31	2019-03-02T16:36:31.605Z
5.684	2019-03-02T16:38:31.875Z	32	2019-03-02T16:37:31.875Z
6.815	2019-03-02T16:39:32.140Z	35	2019-03-02T16:38:32.140Z
9.447	2019-03-02T16:40:32.200Z	31	2019-03-02T16:39:32.200Z
6.924	2019-03-02T16:41:32.265Z	27	2019-03-02T16:40:32.265Z
8.855	2019-03-02T16:42:32.427Z	28	2019-03-02T16:41:32.427Z
7.833	2019-03-02T16:43:32.788Z	27	2019-03-02T16:42:32.788Z
8.662	2019-03-02T16:44:33.157Z	31	2019-03-02T16:43:33.157Z
6.797	2019-03-02T16:45:33.430Z	35	2019-03-02T16:44:33.430Z
5.098	2019-03-02T16:46:33.788Z	29	2019-03-02T16:45:33.788Z
5.459	2019-03-02T16:47:33.855Z	26	2019-03-02T16:46:33.855Z
4.014	2019-03-02T16:48:33.915Z	20	2019-03-02T16:47:33.915Z
3.284	2019-03-02T16:49:33.982Z	20	2019-03-02T16:48:33.982Z
