endTs,entrances
2019-03-02T01:56:26.799Z,0
2019-03-02T01:57:27.061Z,0
2019-03-02T01:58:27.325Z,0
2019-03-02T01:59:27.588Z,0
2019-03-02T02:03:13.595Z,1
2019-03-02T02:04:13.759Z,0
2019-03-02T02:05:13.825Z,1
2019-03-02T02:06:13.885Z,2
2019-03-02T02:07:13.951Z,9
2019-03-02T02:08:14.013Z,3
2019-03-02T02:09:14.178Z,6
2019-03-02T02:10:14.444Z,8
2019-03-02T02:11:14.709Z,7
2019-03-02T02:12:14.869Z,8
2019-03-02T02:13:15.134Z,4
2019-03-02T02:14:15.200Z,5
2019-03-02T02:15:15.460Z,4
2019-03-02T02:16:15.723Z,7
2019-03-02T02:17:16.089Z,3
2019-03-02T02:18:16.253Z,13
2019-03-02T02:19:16.418Z,3
2019-03-02T02:20:16.581Z,1
2019-03-02T02:21:16.845Z,1
2019-03-02T02:22:16.908Z,3
2019-03-02T02:23:17.273Z,4
2019-03-02T02:24:17.536Z,5
2019-03-02T02:25:17.801Z,4
2019-03-02T02:26:18.065Z,0
2019-03-02T02:27:18.328Z,1
2019-03-02T02:28:18.591Z,0
2019-03-02T02:29:18.755Z,0
2019-03-02T02:30:19.016Z,2
2019-03-02T02:31:19.084Z,0
2019-03-02T02:32:19.346Z,0
2019-03-02T02:33:19.513Z,0
2019-03-02T02:34:19.575Z,1
2019-03-02T02:35:19.739Z,0
2019-03-02T02:36:19.802Z,1
2019-03-02T02:37:20.068Z,4
2019-03-02T02:38:20.130Z,3
2019-03-02T02:39:20.293Z,2
2019-03-02T02:40:20.457Z,0
2019-03-02T02:41:20.523Z,1
2019-03-02T02:42:20.786Z,6
2019-03-02T02:43:21.052Z,0
2019-03-02T02:44:21.114Z,3
2019-03-02T02:45:21.178Z,5
2019-03-02T02:46:21.244Z,8
2019-03-02T02:47:21.305Z,2
2019-03-02T02:48:21.571Z,2
2019-03-02T02:49:21.632Z,0
2019-03-02T02:50:21.796Z,0
2019-03-02T02:51:22.061Z,0
2019-03-02T02:52:22.323Z,1
2019-03-02T02:53:22.388Z,0
2019-03-02T02:54:22.653Z,0
2019-03-02T02:55:22.815Z,0
2019-03-02T02:56:23.081Z,0
2019-03-02T02:57:23.344Z,7
2019-03-02T02:58:23.410Z,5
2019-03-02T02:59:23.770Z,2
2019-03-02T03:00:23.934Z,5
2019-03-02T03:01:24.000Z,2
2019-03-02T03:02:24.062Z,0
2019-03-02T03:03:24.427Z,2
2019-03-02T03:04:24.490Z,9
2019-03-02T03:05:24.555Z,6
2019-03-02T03:06:24.818Z,0
2019-03-02T03:07:25.085Z,1
2019-03-02T03:08:25.246Z,6
2019-03-02T03:09:25.509Z,3
2019-03-02T03:10:25.674Z,3
2019-03-02T03:11:25.737Z,6
2019-03-02T03:12:25.802Z,0
2019-03-02T03:13:25.964Z,0
2019-03-02T03:14:26.029Z,1
2019-03-02T03:15:26.193Z,1
2019-03-02T03:16:26.358Z,0
2019-03-02T03:17:26.523Z,0
2019-03-02T03:18:26.884Z,0
2019-03-02T03:19:26.947Z,0
2019-03-02T03:20:27.214Z,0
2019-03-02T03:21:27.476Z,0
2019-03-02T03:22:27.740Z,3
2019-03-02T03:23:28.006Z,0
2019-03-02T03:24:28.266Z,1
2019-03-02T03:25:28.433Z,0
2019-03-02T03:26:28.494Z,0
2019-03-02T03:27:28.759Z,2
2019-03-02T03:28:29.026Z,0
2019-03-02T03:29:29.385Z,0
2019-03-02T03:31:50.161Z,0
2019-03-02T03:32:50.428Z,0
2019-03-02T03:33:50.594Z,0
2019-03-02T03:34:50.657Z,7
2019-03-02T03:35:50.819Z,12
2019-03-02T03:36:50.983Z,9
2019-03-02T03:37:51.048Z,3
2019-03-02T03:38:51.312Z,0
2019-03-02T03:39:51.483Z,2
2019-03-02T03:40:51.740Z,2
2019-03-02T03:41:52.003Z,8
2019-03-02T03:42:52.165Z,0
2019-03-02T03:43:52.331Z,3
2019-03-02T03:44:52.696Z,10
2019-03-02T03:45:53.059Z,2
2019-03-02T03:46:53.122Z,17
2019-03-02T03:47:53.186Z,12
2019-03-02T03:48:53.351Z,5
2019-03-02T03:49:53.612Z,4
2019-03-02T03:50:53.878Z,7
2019-03-02T03:51:54.140Z,0
2019-03-02T03:52:54.305Z,0
2019-03-02T03:53:54.668Z,0
